,visitors
2016-01-01,1122510
2016-02-01,778748
2016-03-01,1017794
2016-04-01,1127738
2016-05-01,1287181
2016-06-01,12032661
2016-07-01,1096754
2016-08-01,1061137
2016-09-01,832987
2016-10-01,901960
2016-11-01,909733
2016-12-01,1225502
2017-01-01,1924695
2017-02-01,1886698
2017-03-01,1783903
2017-04-01,2366793
2017-05-01,2266793
2017-06-01,2007060
2017-07-01,1890870
2017-08-01,1976980
2017-09-01,2011280
2017-10-01,2202316
2017-11-01,1971438
2017-12-01,4871416
2018-01-01,1978396
2018-02-01,1365837
2018-03-01,1415938
2018-04-01,1586375
2018-05-01,1189492
2018-06-01,1595067
2018-07-01,1470042
2018-08-01,1591470
2018-09-01,1508086
2018-10-01,2207478
2018-11-01,1671320
2018-12-01,1964150
2019-01-01,1426500
2019-02-01,983147
2019-03-01,1009991
2019-04-01,1045933
2019-05-01,1305748
2019-06-01,1262995
2019-07-01,1094861
2019-08-01,1121380
2019-09-01,959930
2019-10-01,1240643
2019-11-01,1073665
2019-12-01,1277569
2020-01-01,2035760
2020-02-01,1778523
2020-03-01,1906341
2020-04-01,2089980
2020-05-01,2179829
2020-06-01,11512474
2020-07-01,1992500
2020-08-01,1995550
2020-09-01,1759219
2020-10-01,1879195
2020-11-01,1833500
2020-12-01,2253798
2021-01-01,2772839
2021-02-01,2693218
2021-03-01,2605731
2021-04-01,3134324
2021-05-01,3036365
2021-06-01,3505520
2021-07-01,2698945
2021-08-01,2779137
2021-09-01,2779518
2021-10-01,2986754
2021-11-01,2754177
2021-12-01,5308696
2022-01-01,2834826
2022-02-01,2273760
2022-03-01,2311162
2022-04-01,2500399
2022-05-01,2158946
2022-06-01,2748937
2022-07-01,2359218
2022-08-01,2468790
2022-09-01,2381998
2022-10-01,3013536
2022-11-01,2522208
2022-12-01,2975954
2023-01-01,2370156
2023-02-01,1931222
2023-03-01,1957545
2023-04-01,2018925
2023-05-01,2217633
2023-06-01,2602345
2023-07-01,2029431
2023-08-01,2059657
2023-09-01,1901639
2023-10-01,2197197
2023-11-01,2007420
2023-12-01,2288137
2024-01-01,2862846
2024-02-01,2590119
2024-03-01,2697422
2024-04-01,2883482
2024-05-01,2961560
2024-06-01,11094101
2024-07-01,2771828
2024-08-01,2779791
2024-09-01,2559393
2024-10-01,2704544
2024-11-01,2628490
2024-12-01,3121762
2025-01-01,3498208
2025-02-01,3374923
2025-03-01,3306631
2025-04-01,3783963
2025-05-01,3693306
2025-06-01,4719150
2025-07-01,3386467
2025-08-01,3459052
2025-09-01,3433990
2025-10-01,3653166
2025-11-01,3420233
2025-12-01,5688332
