Districts,TSTDC Units,Tourist Spots,TSS Artists 
Adilabad,0,23,14
Bhadradri Kothagudem,2,8,8
Hanamkonda,2,11,28
Hyderabad,9,47,56
Jagtial,2,9,9
Jangaon,0,11,11
Jayashankar Bhoopalpally,5,16,17
Jogulamba Gadwal,3,11,7
Kamareddy,0,13,10
Karimnagar,1,17,42
Khammam,0,14,17
Komaram Bheem Asifabad,0,15,14
Mahabubabad,0,7,21
Mahbubnagar,1,12,14
Mancherial,0,11,18
Medak,3,11,8
Medchal,1,13,14
Mulugu,,8,
Nagarkurnool,3,16,13
Nalgonda,3,21,24
Narayanpet,,12,
Nirmal,4,22,7
Nizamabad,1,18,16
Peddapalli,0,8,25
Rajanna Sircilla,1,10,17
Ranga Reddy,0,25,8
Sangareddy,2,18,8
Siddipet,3,11,45
Suryapet,0,23,13
Vikarabad,1,17,7
Wanaparthy,0,8,7
Warangal,0,6,37
Yadadri Bhongir,2,12,15
